Nom;Description courte;Prix;Catégorie;
chauffe-tasse biscuit;Rien ne vaut que de traîner sur ses sites préférés en compagnie d'un breuvage bien tiède juste à côté de vous. Un chocolat ? Un thé ? Un café ? Ce chauffe-tasse tout mignon en forme de petit gâteau gardera votre boisson bien au chaud jusqu'à 50° ! ;12,90 €;USB;Chauffe-tasse-biscuit-usb.jpg
mini aspirateur;Fini les miettes de pain et autres poussières incrustées dans votre clavier, grâce à ce mini aspirateur USB. Accessoire bien pratique ! ;9,90 €;USB;Mini-aspirateur-usb.jpg
ventilateur lumineux;Un ventilateur USB avec tige flexible, idéal pour une utilisation sur un ordinateur portable. Petit plus : des LEDs incrustées pour une ambiance hors du commun. ;8,90 €;USB;Ventilateur-lumineux-usb.jpg
frigo ;Avouez qu'il est très désagréable, en plein été, d'aller se servir une canette fraîche dans le frigo de la cuisine, et de la voir se réchauffer très rapidement sur le bureau. Cette tracasserie est maintenant finie grâce à ce frigo USB...;22,90 €;USB;Frigo-usb.jpg
