Nom;Description courte;Prix;Catégorie;
bonnet barbe;Le bonnet barbe, l'assurance d'une pilosité chaque jour renouvelée;32,90 €;mode;bonnet-barbe.jpg
tee shirt détecteur wifi;Ce tee-shirt dispose d'un détecteur de signal Wifi, et le fait savoir ! Equipé d'un petit module récepteur, vous connaitrez aisément l'intensité du réseau Wifi à votre portée. ;39,90 €;mode;T-shirt-detecteur-wifi.jpg
tee shirt coder;Coder ? On y perd son latin.;15,50 €;mode;t-shirt-coder.jpg
tee shirt jeux vidéo;T-Shirt avec un bien beau slogan spécial gamer : Les Jeux Vidéo ont ruiné ma vie : Il m'en reste deux ! ;17,90 €;mode;t-shirt-les-jeux-video-ont-ruine-ma-vie.jpg
